구분,돈,시도,제목,제공유형,장소,기간,문의처
국악,유료,서울특별시,제3회 ㅊㅊ-하다 페스티벌,오프라인,세종문화회관 S씨어터,2022-11-09~2022-11-11,더원아트코리아 070-5001-0926
무용/발레,유료,서울특별시,"collective A, 원형하는 몸: round 1",오프라인,국립극장 하늘극장,2022-11-10~2022-11-11,국립극장 02-2280-4114
음악/콘서트,유료,서울특별시,신인 프랑스 가곡의 밤,오프라인,북서울 꿈의숲아트센터,2022-11-11~2022-11-11,코바기획 070-4110-8290
뮤지컬/오페라,유료,충청남도,아리아라리,오프라인,예산군 문예회관,2022-11-11~2022-11-11,예산군문예회관 041-339-8211~8214
음악/콘서트,유료,서울특별시,피아니스트 박은희의 초대 II,오프라인,예술의전당 인춘아트홀,2022-11-11~2022-11-11,지클레프 02-515-5123
뮤지컬/오페라,유료,경기도,1919,오프라인,누림아트홀,2022-11-11~2022-11-11,누림아트홀 1899-3254
기타,무료,세종특별자치시,세종메세나 콘서트,오프라인,세종 예술의전당,2022-11-11~2022-11-11,세종시메세나협회 사무국 044-863-3902
음악/콘서트,유료,서울특별시,라비앙 콰르텟 정기연주회,오프라인,페리지홀,2022-11-11~2022-11-11,영음예술기획 02-581-5404
음악/콘서트,유료,충청남도,"더 클래식 콘서트 14, 지역청년음악가들 Ⅱ",오프라인,천안예술의전당,2022-11-11~2022-11-11,천안예술의전당 1566-0155
음악/콘서트,유료,대전광역시,주창회 정기연주회 [대전],오프라인,대전예술의전당,2022-11-11~2022-11-11,대전예술기획 1544-3751
뮤지컬/오페라,유료,서울특별시,로큰롤 흥부전,오프라인,노원문화예술회관,2022-11-11~2022-11-11,소리 010-6228-6095
뮤지컬/오페라,유료,충청남도,아가사 [공주],오프라인,공주문예회관,2022-11-11~2022-11-11,공주문예회관 041-852-0858
음악/콘서트,유료,경상남도,국립합창단의 흥겨운 합창여행 [의령],오프라인,의령군민문화회관,2022-11-11~2022-11-11,의령군민문화회관 055-570-4920
기타,유료,강원도,"음악으로 그리는 일곱 가지 반 고흐, 별이 빛나는 밤에 [속초]",오프라인,속초문화예술회관,2022-11-11~2022-11-11,"속초문화예술회관 033-639-2254, 2080"
음악/콘서트,유료,서울특별시,"구로 클래식 페스타, 더울림앙상블",오프라인,구로아트밸리예술극장,2022-11-11~2022-11-11,"구로문화재단 02-2029-1725, 1700"
음악/콘서트,유료,서울특별시,쇼팽의 밤,오프라인,예술의전당 콘서트홀,2022-11-11~2022-11-11,영음예술기획 02-581-5404
음악/콘서트,유료,서울특별시,제19회 한국예술가곡보존회 연주회,오프라인,세종문화회관 체임버홀,2022-11-11~2022-11-11,한국예술가곡보존회 050-6789-3733
음악/콘서트,유료,대구광역시,"DSAC 로컬 아티스트 프로젝트, 가곡열전",오프라인,달서아트센터,2022-11-11~2022-11-11,달서아트센터 053-584-8719~20
무용/발레,유료,서울특별시,"제43회 서울무용제, 개막식 & 무.념.무.상(舞.念.舞.想) Ⅰ",오프라인,아르코예술극장 대극장,2022-11-11~2022-11-11,서울무용제 조직위원회 02-744-8066
음악/콘서트,유료,서울특별시,[11월 11일] 앙상블 유포리아 정기연주회 Series Ⅰ Modern Nature : 21세기 작곡가가 그리는 자연의 풍경,오프라인,롯데콘서트홀,2022-11-11~2022-11-11,예인예술기획 02-586-0945
음악/콘서트,유료,서울특별시,노부스 콰르텟 베토벤 현악사중주 전곡 연주 4,오프라인,예술의전당 IBK챔버홀,2022-11-11~2022-11-11,목프로덕션 02-338-3816
음악/콘서트,유료,인천광역시,김선욱 & 유럽 챔버 오케스트라 [인천],오프라인,아트센터 인천,2022-11-11~2022-11-11,아트센터인천 032-453-7700
음악/콘서트,유료,서울특별시,정신나간 작곡가와 키스하다 (11.11),오프라인,국립극장 해오름극장,2022-11-11~2022-11-11,오페라마예술경영연구소 02-560-7912
음악/콘서트,유료,서울특별시,김효선 더블베이스 독주회,오프라인,예술의전당 리사이틀홀,2022-11-11~2022-11-11,예인예술기획 02-586-0945
연극,유료,경상남도,사랑해요 당신 [창녕] (11.11),오프라인,창녕문화예술회관,2022-11-11~2022-11-11,창녕문화예술회관 055-530-1911
기타,무료,경기도,신노이의 일루미네이션 [광명],오프라인,광명시민회관,2022-11-11~2022-11-11,광명문화재단 02-2621-8845
음악/콘서트,유료,충청남도,제51회 천안시립교향악단 정기연주회,오프라인,천안예술의전당,2022-11-11~2022-11-11,천안시립교향악단 041-555-1346？
음악/콘서트,유료,울산광역시,기타그룹 피에스타 리사이틀,오프라인,울산북구문화예술회관,2022-11-11~2022-11-11,울산북구문화예술회관 052-241-7350
국악,유료,강원도,"대관령음악제, 4色 콘서트: 이자람 노인과 바다",오프라인,알펜시아 콘서트홀,2022-11-11~2022-11-11,강원문화재단 033-240-1363
음악/콘서트,유료,광주광역시,"2022 카즈미 타테이시 트리오 내한 공연-지브리, 재즈를 만나다(광주)",오프라인,518기념문화센터,2022-11-11~2022-11-11,070-8680-8477
연극,유료,서울특별시,만 마디를 대신하는 말 한마디 2,오프라인,라이트 하우스,2021-11-13~2022-11-12,1600-2238
연극,유료,서울특별시,클래스,오프라인,두산아트센터 space111,2022-10-25~2022-11-12,"두산아트센터 02-708-5001, 5013"
무용/발레,유료,서울특별시,"제24회 생생 춤 페스티벌, 안무가 매칭 프로젝트",오프라인,한국예술종합학교 이어령예술극장 (구. 석관동 예술극장),2022-11-09~2022-11-12,한국현대무용협회 02-763-5351
무용/발레,유료,서울특별시,한국명작무대제전,오프라인,남산골한옥마을,2022-11-09~2022-11-12,서울남산국악당 02-2261-0500
연극,유료,서울특별시,버거운 삶,오프라인,아르코예술극장 소극장,2022-11-10~2022-11-12,02-3668-0007
뮤지컬/오페라,유료,전라남도,그린 피플,오프라인,순천문화예술회관,2022-11-10~2022-11-12,순천문화예술회관 061-749-8624
연극,유료,서울특별시,"아시아연출가전, 버거운 삶",오프라인,아르코예술극장 소극장,2022-11-10~2022-11-12,010-4156-4541
연극,유료,서울특별시,"제12회 서울미래연극제, 나는 사랑한다: 김명순전",오프라인,씨어터쿰,2022-11-10~2022-11-12,서울연극협회 02-765-7500
무용/발레,유료,서울특별시,I GO,오프라인,연희예술극장,2022-11-11~2022-11-12,010-3430-2098
국악,유료,서울특별시,"2022 청춘, 청어람",오프라인,국립국악원 예악당,2022-11-11~2022-11-12,02-580-3300
뮤지컬/오페라,무료,인천광역시,사랑의 포스트 [인천],오프라인,인천서구문화회관,2022-11-11~2022-11-12,010-5515-2515
연극,유료,광주광역시,"제57회 광주시립창극단 정기공연 <망월, 달빛의 노래>",오프라인,빛고을시민문화관,2022-11-11~2022-11-12,광주시립창극단 062-526-0363
무용/발레,유료,인천광역시,제89회 인천시립무용단 정기공연,오프라인,인천문화예술회관,2022-11-11~2022-11-12,인천시립무용단 032-420-2788
무용/발레,유료,강원도,"앰비규어스댄스컴퍼니, 얼이섞다 [춘천]",오프라인,춘천문화예술회관,2022-11-11~2022-11-12,"춘천문화재단 공연기획팀 033-259-5822,4"
뮤지컬/오페라,유료,인천광역시,올 더 웨이 [인천문화예술회관],오프라인,인천문화예술회관,2022-11-11~2022-11-12,인천문화예술회관 032-420-2000
뮤지컬/오페라,유료,서울특별시,"서울오페라페스티벌, 사랑의 묘약",오프라인,강동아트센터,2022-11-11~2022-11-12,강동아트센터 02-440-0500
기타,유료,대구광역시,제6회 대구국제컴퓨터음악제,오프라인,대구콘서트하우스 챔버홀,2022-11-11~2022-11-12,다매체예술단ARS 010-8937-7716？
국악,유료,서울특별시,"창작악단 기획공연, 청춘 청어람",오프라인,국립국악원 예악당,2022-11-11~2022-11-12,국립국악원 02-580-3300
뮤지컬/오페라,유료,경기도,백만송이의 사랑 [하남],오프라인,하남문화예술회관,2022-11-11~2022-11-12,하남문화예술회관 031-790-7979
무용/발레,유료,울산광역시,"[집밖] 코리아 탭 오케스트라, 올 댓 리듬 [울산]",오프라인,울산문화예술회관,2022-11-12~2022-11-12,울산문화예술회관 052-275-9623
무용/발레,유료,부산광역시,신데렐라 [부산],오프라인,영도문화예술회관,2022-11-12~2022-11-12,영도문화예술회관 051-419-5571~4
음악/콘서트,유료,서울특별시,청년예술인시리즈 with Trio N,오프라인,영산양재홀,2022-11-12~2022-11-12,영산양재홀 02-571-7689
음악/콘서트,유료,경기도,시민과 청소년을 위한 열린 가을 음악회,오프라인,성남아트센터 콘서트홀,2022-11-12~2022-11-12,"성남청소년오케스트라 사무국 010-3996-6148, 010-6338-9952"
음악/콘서트,무료,인천광역시,Vivaldi Recomposed: Tango & Minimalism,오프라인,인천학생교육문화회관,2022-11-12~2022-11-12,인천학생교육문화회관 032-760-3538
음악/콘서트,유료,경기도,로맨틱 애프터눈 콘서트 [과천],오프라인,과천시민회관 소극장,2022-11-12~2022-11-12,과천문화재단 02-2009-9772
뮤지컬/오페라,유료,경상남도,슈퍼 루나틱 [김천],오프라인,김천문화예술회관,2022-11-12~2022-11-12,김천문화예술회관 054-420-7824
무용/발레,유료,서울특별시,춤방 가는 길,오프라인,서울돈화문국악당,2022-11-12~2022-11-12,댄스오리진 010-8928-3038 / 010-8892-7492
뮤지컬/오페라,유료,인천광역시,도서관에 간 사자 [인천],오프라인,트라이보울 공연장,2022-11-12~2022-11-12,트라이보울 032-832-7996
음악/콘서트,유료,서울특별시,Einsamkeit 고독,오프라인,북서울 꿈의숲아트센터,2022-11-12~2022-11-12,브레멘예술기획 02-875-8224
음악/콘서트,무료,서울특별시,2022 이웃사랑 나눔콘서트,오프라인,여의도 KBS홀,2022-11-12~2022-11-12,"KBS강태원복지재단 담당자 Tel. 02-781-2943, E-mail. kbsktw@daum.net"
국악,유료,서울특별시,"심소라의 춘향가: 시작, 그 길에서",오프라인,정효아트센터,2022-11-12~2022-11-12,심소라 010-4160-7133
음악/콘서트,무료,서울특별시,11월 토요일은 삼각산청이좋아 <우리동네 재즈클럽>,오프라인,삼각산시민청,2022-11-12~2022-11-12,"삼각산시민청 공연 담당자 02-900-0036, 0043"
음악/콘서트,무료,경기도,"Journey Piano Duo, 박선아 음민아 피아노 듀오 콘서트",오프라인,성남아트센터,2022-11-12~2022-11-12,성남아트센터 031-783-8000
음악/콘서트,유료,경기도,애니메이션 OST 스페셜 콘서트 [수원],오프라인,경기아트센터,2022-11-12~2022-11-12,경기아트센터 031-230-3440
국악,유료,전라남도,"제834회 전남도립국악단 토요가무악희 시즌 3, 그린국악",오프라인,남도소리울림터,2022-11-12~2022-11-12,전남도립국악단 061-981-6923
음악/콘서트,유료,서울특별시,박수원 하프 독주회,오프라인,예술의전당 리사이틀홀,2022-11-12~2022-11-12,영음예술기획 02-581-5404
음악/콘서트,유료,서울특별시,"구로 클래식 페스타, 필레오오케스트라 & 구로여성합창단 & 느티나무합창단 (11.12)",오프라인,구로아트밸리예술극장,2022-11-12~2022-11-12,"구로문화재단 02-2029-1725, 1700"
음악/콘서트,유료,인천광역시,Wanderers' Society Piano Trio: Emotional flow,오프라인,엘림아트센터,2022-11-12~2022-11-12,엘림아트센터 032-289-4275
음악/콘서트,유료,대전광역시,장진선 바이올린 리사이틀,오프라인,대전예술의전당,2022-11-12~2022-11-12,대전예술기획 1544-3751
음악/콘서트,유료,경상남도,달콤한 음악스토리 with Classic,오프라인,양산문화예술회관,2022-11-12~2022-11-12,양산문화예술회관 055-379-8550
뮤지컬/오페라,유료,경상남도,MEMORIES [성주],오프라인,성주군문화예술회관,2022-11-12~2022-11-12,성주문화예술회관 054-933-6912
연극,무료,제주특별자치도,농사의 신 자청비 [제주],오프라인,제주문예회관,2022-11-12~2022-11-12,제주문예회관 064-710-7656
무용/발레,유료,부산광역시,신데렐라 [영도],오프라인,영도문화예술회관,2022-11-12~2022-11-12,영도문화예술회관 051-419-5571~4
음악/콘서트,유료,서울특별시,제27회 서울솔리스트 첼로앙상블 정기연주회,오프라인,예술의전당 IBK챔버홀,2022-11-12~2022-11-12,조인클래식 02-525-6162
연극,유료,대구광역시,임지윤의 하루 2 [대구],오프라인,소극장 소금창고,2022-11-12~2022-11-12,카카오톡 오픈채팅 '극단 제이와이 <임지윤의 하루> 문의방'으로 문의 / 인터파크 1544-1555
무용/발레,유료,인천광역시,춤시(詩) 오딧세이 [인천],오프라인,부평아트센터 해누리 극장,2022-11-12~2022-11-12,부평구문화재단 032-500-2000
국악,유료,경기도,전통창작음악집단 4인놀이 콘서트: Born Von 本 [용인],오프라인,용인문화예술원(마루홀),2022-11-12~2022-11-12,보름달컴퍼니 070-8959-9569
음악/콘서트,유료,강원도,"대관령음악제 연중기획, 조재혁의 토크콘서트 4",오프라인,알펜시아 콘서트홀,2022-11-12~2022-11-12,강원문화재단 033-240-1363
뮤지컬/오페라,유료,대구광역시,"제19회 DIOF, 오페라 콘체르탄테: 카발레리아 루스티카나 & 잔니 스키키",오프라인,대구오페라하우스,2022-11-12~2022-11-12,대구오페라하우스 053-666-6000 / 전화예매 1661-5946
국악,유료,서울특별시,완창판소리 (11월),오프라인,국립극장 하늘극장,2022-11-12~2022-11-12,국립극장 02-2280-4114
뮤지컬/오페라,유료,경기도,피노키오 [용인],오프라인,용인시문예회관 처인홀,2022-11-12~2022-11-12,극단 희망 010-2258-9411
음악/콘서트,유료,서울특별시,토마스 체헤트마이어 & 프랑스 오베르뉴 국립 오케스트라,오프라인,예술의전당 콘서트홀,2022-11-12~2022-11-12,더브릿지컴퍼니 02-6094-1001
국악,유료,서울특별시,"금호영아티스트콘서트, 임지현 민요 독창회",오프라인,금호아트홀 연세,2022-11-12~2022-11-12,금호문화재단 02-6303-1977
뮤지컬/오페라,유료,경기도,겨울왕국: 겨울이야기 [고양],오프라인,고양어울림누리,2022-11-12~2022-11-12,극단 희망 010-2258-9411
음악/콘서트,유료,서울특별시,"금호영재콘서트, 임효린 오보에 독주회",오프라인,금호아트홀 연세,2022-11-12~2022-11-12,금호문화재단 02-6303-1977
음악/콘서트,유료,서울특별시,정신나간 작곡가와 키스하다,오프라인,국립극장 해오름극장,2022-11-12~2022-11-12,오페라마예술경영연구소 02-560-7912
뮤지컬/오페라,유료,충청남도,빨간모자와 늑대 [계룡],오프라인,계룡문화예술의 전당,2022-11-12~2022-11-12,010-8230-8883
음악/콘서트,유료,대구광역시,"월드오케스트라시리즈, WOS 비르투오소 챔버",오프라인,대구콘서트하우스 그랜드홀,2022-11-12~2022-11-12,월드오케스트라시리즈 조직위원회 053-250-1447~8
뮤지컬/오페라,유료,광주광역시,라푼젤 [광주],오프라인,광산문화예술회관,2022-11-12~2022-11-12,극단 희망 010-2258-9411
뮤지컬/오페라,유료,경상남도,리틀고양이 [구미],오프라인,강동문화복지회관 천생아트홀,2022-11-12~2022-11-12,조이컬쳐 010-9611-2073
음악/콘서트,유료,서울특별시,제5회 뷔에르 앙상블 정기연주회,오프라인,예술의전당 IBK챔버홀,2022-11-12~2022-11-12,목프로덕션 02-338-3816
무용/발레,유료,경기도,류무용단의 상상(想像)하는 우리춤 [안성],오프라인,안성맞춤아트홀,2022-11-12~2022-11-12,안성맞춤아트홀 031-660-0666
음악/콘서트,유료,울산광역시,"노부스 콰르텟, 오직 베토벤 [울산]",오프라인,중구문화의전당,2022-11-12~2022-11-12,울산중구문화의전당 052-290-4000
뮤지컬/오페라,유료,강원도,어린이 캣 [원주],오프라인,원주문화원,2022-11-12~2022-11-12,원앤원 1688-8616
뮤지컬/오페라,유료,충청남도,프린세스 공주뮤지컬쇼 [예산],오프라인,충남도청 문예회관,2022-11-12~2022-11-12,진엔터컴 1566-7356
음악/콘서트,유료,대구광역시,오르가니스트 한영태 독주회 [대구],오프라인,소담아트홀,2022-11-12~2022-11-12,010-4306-3336
기타,유료,경기도,크로이체르 소나타: 베토벤과 톨스토이의 만남 [용인],오프라인,용인시 평생학습관,2022-11-12~2022-11-12,용인문화재단 CS센터 031-260-3355 / 3358
연극,유료,경상남도,사랑해요 당신 [창녕] (11.12),오프라인,창녕문화예술회관,2022-11-12~2022-11-12,창녕문화예술회관 055-530-1911
뮤지컬/오페라,유료,서울특별시,아기돼지 삼형제 [노원],오프라인,노원문화예술회관,2022-11-12~2022-11-12,극단 복주머니 010-2407-7823
음악/콘서트,유료,서울특별시,서울기타콰르텟 23주년 정기 연주회,오프라인,세종문화회관 체임버홀,2022-11-12~2022-11-12,서울기타콰르텟 010-6224-7857
뮤지컬/오페라,유료,경기도,헤어드레서 [연천],오프라인,연천수레울아트홀,2022-11-12~2022-11-12,"연천수레울아트홀 031-834-3770, 031-839-2910"
음악/콘서트,유료,서울특별시,소현진 귀국 비올라 독주회,오프라인,예술의전당 리사이틀홀,2022-11-12~2022-11-12,예인예술기획 02-586-0945
무용/발레,유료,경기도,댄싱뮤지엄 [오산],오프라인,오산문화예술회관,2022-11-12~2022-11-12,오산문화예술회관 031-379-9999
뮤지컬/오페라,유료,경기도,생텍쥐페리 [남양주],오프라인,다산아트홀,2022-11-12~2022-11-12,"다산아트홀 031-590-4358, 4361"
음악/콘서트,유료,서울특별시,손미나의 인문학콘서트 with 조윤성,오프라인,오류아트홀,2022-11-12~2022-11-12,02)2614-7967
국악,유료,경기도,2022 전통창작음악집단 4인놀이 콘서트 “Born Von 本 : 근본으로부터 태어나다”,온라인,용인문화예술원(마루홀),2022-11-12~2022-11-12,070-8959-9569
뮤지컬/오페라,유료,서울특별시,엘리자벳 10주년 기념공연,오프라인,블루스퀘어 신한카드홀,2022-08-25~2022-11-13,멜론티켓 1899-0042
뮤지컬/오페라,유료,서울특별시,배니싱,오프라인,아트원씨어터,2022-08-30~2022-11-13,더웨이브 02-6954-0772
연극,유료,서울특별시,82년생 김지영,오프라인,백암아트홀,2022-09-01~2022-11-13,(주)스포트라이트 010-2278-8977
연극,유료,서울특별시,헤르츠클란,오프라인,브릭스씨어터(구.콘텐츠 그라운드),2022-09-05~2022-11-13,인터파크 1544-1555
연극,유료,서울특별시,트루웨스트,오프라인,대학로 TOM(티오엠) 2관,2022-09-06~2022-11-13,02-764-8760
뮤지컬/오페라,유료,서울특별시,라흐 헤스트,오프라인,드림아트센터,2022-09-06~2022-11-13,1577-3363
뮤지컬/오페라,유료,서울특별시,사랑의 불시착,오프라인,코엑스아티움,2022-09-16~2022-11-13,인터파크 1544-1555
연극,유료,대구광역시,내 모든걸 [대구],오프라인,문화예술전용극장 CT,2022-09-21~2022-11-13,053-252-5733
연극,유료,대전광역시,딜리버리 [대전],오프라인,이수아트홀,2022-09-24~2022-11-13,이수아트홀 1644-4325
뮤지컬/오페라,유료,서울특별시,이머시브공연 <금란방> 창작가무극,오프라인,국립정동극장,2022-10-11~2022-11-13,1577-3363
연극,유료,서울특별시,제7회 단단페스티벌,오프라인,소극장 혜화당,2022-10-12~2022-11-13,010-2701-3069
전시,유료,서울특별시,[소마미술관] Into Drawing 46 김혜숙 전 <낱눈>,오프라인,소마미술관 1관,2022-10-14~2022-11-13,02-425-1077
연극,유료,서울특별시,연극 <러브레터>,오프라인,예술의전당 자유소극장,2022-10-25~2022-11-13,02-6925-0419
행사/축제,무료,서울특별시,NEXTAR COMPETITION VOL.4,온(오프)라인,노들섬 라이브하우스,2022-10-27~2022-11-13,02-749-4500
연극,유료,서울특별시,"아이히만, 암흑이 시작 하는 곳에서",오프라인,산울림 소극장,2022-10-28~2022-11-13,극단 파수꾼 070-8197-7950
연극,유료,서울특별시,오슬로에서 온 남자,오프라인,나온씨어터,2022-10-28~2022-11-13,02-742-7563
전시,무료,강원도,조정태 : 갈림길을 지나며,오프라인,개나리미술관,2022-11-01~2022-11-13,070-8095-3899
연극,유료,서울특별시,먹감나무 아래 있는 집,오프라인,드림시어터,2022-11-01~2022-11-13,070-7562-9980
연극,유료,서울특별시,벙거지꾼 계동이,오프라인,대학로 공간아울,2022-11-03~2022-11-13,010-9711-8526
연극,유료,경기도,맥베스 [수원],오프라인,경기아트센터,2022-11-03~2022-11-13,경기도극단 031-230-3302~3304
연극,유료,서울특별시,노웨이 투데이,오프라인,미마지아트센터 물빛극장,2022-11-03~2022-11-13,010-5795-7777
연극,유료,서울특별시,버닝필드(Burning Field),오프라인,CKL스테이지,2022-11-04~2022-11-13,CKL스테이지 02-6441-3951
연극,유료,서울특별시,탈주자,오프라인,아름다운 극장,2022-11-04~2022-11-13,인터파크 1544-1555
연극,유료,서울특별시,어느 날 문을 열고,오프라인,문래예술공장 박스시어터,2022-11-04~2022-11-13,010-3310-3952
연극,유료,서울특별시,루나자에서 춤을,오프라인,여행자극장,2022-11-04~2022-11-13,"010-8931-8370, 010-3882-4324"
뮤지컬/오페라,유료,대구광역시,킹키부츠 [대구],오프라인,대구 계명아트센터,2022-11-04~2022-11-13,계명아트센터 053-580-6600
뮤지컬/오페라,유료,경기도,장화신은 고양이 [안산],오프라인,NC소극장 안산 고잔,2022-11-05~2022-11-13,NC소극장 031-414-2100
연극,무료,충청남도,으랏차차 순무가족의 커다란 순무 [천안],오프라인,천안어린이꿈누리터,2022-11-05~2022-11-13,천안어린이꿈누리터 041-522-7199
전시,무료,서울특별시,휴식(休息) : Show Your Relaxation,온(오프)라인,드플로허,2022-11-05~2022-11-13,yoona7553@gmail.com
뮤지컬/오페라,유료,서울특별시,우리 아빠가 최고야 [용산],오프라인,대원콘텐츠라이브,2022-11-05~2022-11-13,대원콘텐츠라이브 02-6373-3366
뮤지컬/오페라,유료,경기도,거리위의 빨간모자 [부천],오프라인,한국만화박물관,2022-11-05~2022-11-13,극단 다람 032-612-8883
음악/콘서트,유료,경기도,"제11회 SF미래과학축제, SF음악콘서트",오프라인,국립과천과학관 천체투영관,2022-11-06~2022-11-13,국립과천과학관 02-3677-1458
연극,유료,서울특별시,"혜화동1번지 7기동인 가을페스티벌, FBW",오프라인,연극실험실 혜화동 1번지,2022-11-07~2022-11-13,카카오톡 아이디 hhd7th / 인터파크 1544-1555
무용/발레,유료,서울특별시,도시 속 계절,오프라인,대학로 스튜디오 블루 (구 두레홀 3관),2022-11-08~2022-11-13,인터파크 1544-1555
연극,유료,서울특별시,거울,오프라인,보광극장,2022-11-09~2022-11-13,인터파크 1544-1555
연극,유료,대구광역시,"제4회 실험극 페스티벌, 작작zoom하자: 세라핀 - 그림자의 색",오프라인,골목실험극장,2022-11-09~2022-11-13,극단 골목 골목실험극장 010-4072-2378
행사/축제,유료,서울특별시,2022 제3회 <ㅊㅊ-하다 페스티벌>,오프라인,세종문화회관 S씨어터,2022-11-09~2022-11-13,070-5001-0926
연극,유료,부산광역시,"안톤체홉, 결혼과 사랑 [부산]",오프라인,가온아트홀,2022-11-09~2022-11-13,가온아트홀 1600-1602
연극,유료,서울특별시,BE HAPPY,오프라인,극장 PLOT (구 1M SPACE),2022-11-10~2022-11-13,인터파크 1544-1555
연극,유료,서울특별시,불장난,오프라인,미아리고개예술극장,2022-11-10~2022-11-13,010-9350-2351
뮤지컬/오페라,유료,경상남도,바람아 구름아 [경주],오프라인,경주예술의전당,2022-11-10~2022-11-13,경주시립예술단 1899-2138
뮤지컬/오페라,유료,서울특별시,빛아이 어둠아이,오프라인,노원어린이극장,2022-11-10~2022-11-13,인터파크 1544-1555
뮤지컬/오페라,유료,서울특별시,리골레토,오프라인,세종문화회관 M씨어터,2022-11-10~2022-11-13,세종문화티켓 02-399-1000
뮤지컬/오페라,유료,대전광역시,토스카 [대전],오프라인,대전예술의전당,2022-11-10~2022-11-13,대전예술의전당 042-270-8333
무용/발레,유료,강원도,"연무열전, 무용",오프라인,축제극장몸짓,2022-11-10~2022-11-13,통통창의력발전소 070-4223-3972
연극,유료,서울특별시,달콤한 기억,오프라인,대학로 예술극장,2022-11-11~2022-11-13,02-3668-0007
무용/발레,유료,서울특별시,<지젤>,오프라인,예술의전당 오페라극장,2022-11-11~2022-11-13,1544-1555
연극,유료,경기도,지는 해의 그림자 [안양],오프라인,안양아트센터,2022-11-11~2022-11-13,극단 미스터리 031-444-6783
연극,유료,경기도,산책하는 침략자,오프라인,고양아람누리 새라새극장,2022-11-11~2022-11-13,고양문화재단 1577-7766
뮤지컬/오페라,유료,경기도,삼총사 [고양],오프라인,고양아람누리 아람극장,2022-11-11~2022-11-13,창라이프 1566-6551
뮤지컬/오페라,유료,대전광역시,빨래 [대전],오프라인,대전시립연정국악원,2022-11-11~2022-11-13,지오엠미디어 1899-4150
연극,유료,서울특별시,"봄 작가, 겨울 무대, 달콤한 기억",오프라인,대학로 예술극장,2022-11-11~2022-11-13,아르코 대학로예술극장 02-3668-0007
연극,유료,서울특별시,비단잉어를 보았다,오프라인,대학로 예술공간 혜화,2022-11-12~2022-11-13,010.4773.1746
연극,유료,서울특별시,"제22회 월드 2인극 페스티벌, 불청객",오프라인,대학로 예술공간 혜화,2022-11-12~2022-11-13,2인극페스티벌 조직위원회 070-7776-6613
음악/콘서트,유료,서울특별시,"악기야놀자, 첫눈이 내리면",오프라인,충무아트센터 컨벤션홀,2022-11-12~2022-11-13,꾸러기예술단 02-547-9851
연극,유료,광주광역시,"작은 무대에 부는 바람 #2, 행복 아파트 강아지 도난사건 [광주]",오프라인,씨어터 연바람,2022-11-12~2022-11-13,씨어터 연바람 062-226-2446
음악/콘서트,유료,강원도,한국 가곡 대축제 [강릉],오프라인,강릉아트센터 사임당홀,2022-11-12~2022-11-13,"두남재엔터테인먼트 02-6292-9368, 9370"
뮤지컬/오페라,유료,부산광역시,캐치! 티니핑: 프린세스 다이어리 [부산(앵콜)],오프라인,부산시민회관,2022-11-12~2022-11-13,동그라미그리기 1577-4868
연극,유료,서울특별시,별무리,오프라인,플랫폼74,2022-11-12~2022-11-13,인터파크 1544-1555
뮤지컬/오페라,유료,서울특별시,사슴 코딱코의 재판,오프라인,갈산문화예술센터,2022-11-12~2022-11-13,엠제이플래닛 02-2278-5741
연극,유료,광주광역시,"ACC 국제 공동 창·제작 쇼케이스, 남편 없는 부두",오프라인,국립아시아문화전당,2022-11-12~2022-11-13,국립아시아문화전당 1899-5566
뮤지컬/오페라,유료,전라북도,누가 내 머리에 똥 쌌어? [군산],오프라인,군산예술의전당,2022-11-12~2022-11-13,극단 국민 010-4095-3005
뮤지컬/오페라,유료,대구광역시,수박수영장 [대구],오프라인,대구 엑스코(EXCO),2022-11-12~2022-11-13,에이엠컬처 02-6413-3698
뮤지컬/오페라,유료,인천광역시,더퀸: 선덕여왕의 귀환 [인천],오프라인,남동소래아트홀,2022-11-12~2022-11-13,극단 파아란 1600-0316
무용/발레,유료,서울특별시,공주전,오프라인,영등포아트홀,2022-11-12~2022-11-13,영등포아트홀 02-2629-2200(3)
뮤지컬/오페라,유료,경기도,캐리TV 러브콘서트: KPOP [부천],오프라인,부천시민회관 대공연장,2022-11-12~2022-11-13,드림엔터테인먼트 1600-1787
뮤지컬/오페라,유료,경상남도,바다탐험대 옥토넛 시즌2: 대산호초 보호작전 [창원(앵콜)],오프라인,KBS 창원홀,2022-11-12~2022-11-13,율문화예술기획 1522-2061
뮤지컬/오페라,유료,전라북도,신비아파트 시즌5: 감염된 도시의 비밀 [전주],오프라인,전북대학교 삼성문화회관,2022-11-12~2022-11-13,동그라미그리기 1577-4868
뮤지컬/오페라,유료,대전광역시,시크릿쥬쥬 시즌3: 별의 여신 마지막콘서트 [대전],오프라인,한밭대학교 아트홀,2022-11-12~2022-11-13,동그라미그리기 1577-4868
뮤지컬/오페라,유료,경기도,급식왕: 발가락 떡볶이의 비밀 [용인],오프라인,용인포은아트홀,2022-11-12~2022-11-13,창라이프 1566-6551
뮤지컬/오페라,유료,경기도,"민쩌미, 사랑해요 엄마! [고양]",오프라인,고양어울림누리,2022-11-12~2022-11-13,동그라미그리기 1577-4868
음악/콘서트,유료,서울특별시,히사이시 조 영화음악 콘서트 파이널 [서울],오프라인,롯데콘서트홀,2022-11-12~2022-11-13,라이브러리컴퍼니 070-4190-1289
